No,Product Name,Price,Description,Printer Type,Material,Build Volume,Minimum Layer Height,Number of Extruder Head,Speed,Open Source,3rd Party Material,Filament Diameter,Connectivity,Source
1,Ultimaker 2+,"$2,499.00",The Ultimaker 2+ is the updated version of the popular multifunctional 3D printer. It comes equipped with a heated build platform and can print at a resolution of up to 20 microns. It supports both PLA and ABS and can print at a speed of 300 mm/s.,FDM,"ABS, PLA",22.3 x 22.3 x 20.5 cm,20,1,,Yes,Yes,2.75,SD card,https://www.3dhubs.com/3d-printers/ultimaker-2-plus
2,Original Prusa i3 MK2,$699.00,"The Original i3 MK2 is the latest design of the popular, upgradable 3D printer from Josef Prusa. All parts of this 3D printer are Open Source and are part of the RepRap project. This printer comes equipped with a heatbed with cold corners compensation for warpless 3D printing from a variety of materials ranging from PLA, ABS, PET, HIPS to Nylon, Bamboofill, ASA and Polycarbonates. The Original i3 MK2 is a versatile printer that comes as a kit or pre-assembled.",FDM,"PLA, ABS, PET, HIPS, Flex PP, Ninjaflex and many more",25 x 21 x 20 cm,50 microns,1,,Yes,Yes,1.75,SD card,https://www.3dhubs.com/3d-printers/original-prusa-i3-mk2
3,Form 2,"€ 3 925,00","Formlabs introduced the first desktop resin 3D printer in 2012 with the launch of the original Form 1 on Kickstarter, which became an instant success. The Form 2 is the company's 3rd generation printer sporting a whole range of new features. It's equipped with a new peeling mechanism, a heated tank, a touchscreen display, wireless controls and an automated resin system. The resulting prints that come off of the Form 2 have consistently been among the highest quality objects to come off of any desktop 3D printer.",SLA + DLP,Resin,14.5 x 14.5 x 17.5 cm,25 microns,,,No,Yes,,USB,https://www.3dhubs.com/3d-printers/form-2
4,Makergear M2,"$1,825.00","The US manufactured M2 is the 5th generation of MakerGear 3D printers. It is built on a solid metal chassis, giving it a sturdy structure. This machine comes equipped with a heated platform for compatibility for printing in a wide range of materials to build objects up to 20.3 x 25.4 x 20.3 cm. It is a highly versatile, reliable 3D Printer that comes pre-assembled, while users can also tweak the machine with on-board controls, interchangeable nozzles and dual-extruder upgrade.",FDM,"ABS, PLA, PET, Nylon, Flexibles and more",25.4 x 20.3 x 20.3 cm,25 microns,1,80-200 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/makergear-m2
5,LulzBot TAZ 6,"$2,500.00","The LulzBot TAZ 6 is an open source 3D printer for the tinkerer. It comes with a metal frame, a heated build platform with automatic leveling system and has an exchangeable extruder system. Due to its active community many customizations are available online. It supports materials like PLA, ABS, HIPS, Ninja Flex and many more.",FDM,"ABS, PLA, HIPS, PVA, Bronze, and many more.",28 x 28 x 25 cm,50 microns,"1, 2 (optional)",200mm/sec,Hardware & software,Yes,3.00,SD card,https://www.3dhubs.com/3d-printers/lulzbot-taz-6
6,CraftBot PLUS,"$1,099.00","The CraftBot PLUS features a build volume of 250 x 200 x 200mm, and coupled with a heated platform and their proprietary slicing software CraftWare, the PLUS model is able to print out of the box without any tweaking.",FDM,"ABS, PLA, HIPS",25 x 20 x 20 cm,100,,,No,Yes,,USB,https://www.3dhubs.com/3d-printers/craftbot-plus
7,LulzBot Mini,"£1,141.00",The Mini is the smallest FDM printer by Aleph Objects. It has a buildvolume of 15x15x16cm. The Mini prints with any 3mm filament. It reaches a maximum resolution of 50 microns. Lowest resolution is 500 microns.,FDM,"ABS, PLA, HIPS, PVA, Bronze, Copper, Wood, Polyester (Tritan), PETT, Polycarbonate, Nylon, PETG, conductive PLA and ABS, UV luminescent filaments, PCTPE, PC-ABS, Alloy 910",15.2 x 15.2 x 15.8 cm,50 microns,1,275mm/sec,Hardware & software,Yes,3.00,USB,https://www.3dhubs.com/3d-printers/lulzbot-mini
8,Zortrax M200,"$1,650.00","The Zortrax M200 started out as a Kickstart project in 2013 and soon became famous when Dell ordered 5000 units during its funding phase. Made from sturdy aluminum, the M200 is capable of printing straight out of the box with very little setup. Thanks to an automated platform leveling system, calibrating is precise and easy. With a 200 x 200 x 185 mm build area that includes a perforated build platform for mitigating the material’s tendency to warp, the printer is optimized for those who wish to print with ABS.",FDM,"ABS, HIPS, ULTRAT",20 x 20 x 18.5 cm,90 microns,1,100 mm/s,No,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/zortrax-m200
9,CEL Robox,$999.99,"Originating from a Kickstarter campaign, CEL Robox was successfully funded (£280.891 raised on a £100.000 goal) on October 28th, 2013. The company CEL is located in Portishead, U.K. That’s where they manufactured their award winning Robox, a FDM printer with features like an interchangeable print head, heated build plate and auto-leveling, to name a few.",FDM,"PLA, ABS, mABS (clear), HIPS, PETG",21 x 15 x 10 cm,20 microns,"1, 2 (optional)",,No,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/cel-robox
10,BEETHEFIRST,"€ 1 199,00",BEETHEFIRST is covered by a metal/acrylic casing giving it a sleek and minimalist look. It supports printing in PLA and provides an out-of-the-box printing solution. The maximum resolution is 50 microns and due to its handle on top it can be easily transported.,FDM,PLA,19 x 13.5 x 12.5 cm,50 microns,1,,No,No,1.75,USB,https://www.3dhubs.com/3d-printers/beethefirst
